id,landcover,lat,lon
1,grass,47.83328,11.06223
2,grass,47.83155,11.05849
3,grass,47.83336,11.06165
4,grass,47.83328,11.05988
5,grass,47.83087,11.05864
6,grass,47.83048,11.06008
7,clover,47.82836,11.05883
8,grass,47.83053,11.06198
9,grass,47.82966,11.06413
10,grass,47.82989,11.06591
11,grass,47.83020,11.06533
12,grass,47.83164,11.06623
13,grass,47.83063,11.06629
14,grass,47.83287,11.06646
15,forest,47.83279,11.06587
16,grass,47.83215,11.06666
17,grass,47.83007,11.06703
18,grass,47.82967,11.06624
19,grass / meadow,47.83266,11.06279
20,grass / meadow,47.83214,11.05794
21,grass / meadow,47.82961,11.05833
22,grass,47.82964,11.05499
23,oat,47.82571,11.05911
24,grass,47.82380,11.06142
25,grass / bedding meadow,47.82247,11.06332
26,grass,47.82230,11.06381
27,grass,47.82631,11.06943
28,grass,47.82609,11.06897
29,grass,47.82663,11.06946
30,grass,47.82463,11.06858
31,grass,47.82687,11.06928
32,grass,47.82729,11.06940
33,grass,47.82708,11.06960
34,grass,47.82579,11.06920
35,grass,47.82568,11.06884
36,grass,47.82487,11.06898
37,grass,47.82450,11.06886
38,grass,47.82423,11.06850
39,grass,47.82837,11.07000
40,grass,47.82971,11.07038
41,grass,47.83091,11.07072
42,grass,47.83122,11.07086
43,grass,47.83000,11.07048
44,barren,47.82943,11.06998
45,grass,47.82637,11.06911
46,grass,47.82455,11.06409
47,forest,47.82535,11.06471
48,forest,47.82630,11.06630
49,forest,47.82803,11.06886
50,grass,47.82929,11.07022
51,forest,47.83157,11.06958
