time,sensor,comment,N_raw_mean,N_raw_std,N_raw_err
2019-06-27 09:04:00+02:00,9.0,,8815.939849624061,1709.7080370964215,155.6458153459666
2019-06-27 09:28:00+02:00,15.0,,9688.54368932039,1910.3404930909878,185.82277526242143
2019-06-27 09:50:00+02:00,13.0,,8283.130434782608,1828.5083390554778,162.43984610035812
2019-06-27 10:24:00+02:00,23.0,,7738.3486238532105,1674.723036118636,161.34848413707928
2019-06-27 11:00:00+02:00,17.0,,8712.0,1706.098041237897,166.59204238875762
2019-06-27 11:26:00+02:00,18.0,,9421.782178217823,1764.0053470882003,182.906225973858
2019-06-27 11:53:00+02:00,8.0,,9211.37614678899,1719.6820700403748,176.03661235347857
2019-06-27 12:20:00+02:00,3.0,tablet restart ,10014.803149606298,2032.6340914761986,170.23115343251834
2019-06-27 12:44:00+02:00,25.0,,9769.541284403671,1964.7704537120403,181.29166187849532
2019-06-27 13:12:00+02:00,24.0,people around 13:24 ,10065.123966942148,1911.391341275808,174.4906874305904
2019-06-27 13:38:00+02:00,12.0,Christian maintains profile ,9042.146341463415,1824.3976384508615,126.62917553583698
2019-06-27 14:16:00+02:00,5.0,,9297.391304347826,1844.4578374033954,172.0980201276469
2019-06-27 14:41:00+02:00,7.0,,10365.773195876289,2072.5667636268613,198.18315392585717
2019-06-27 15:09:00+02:00,11.0,uncertain start,11001.22270742358,2340.8383569774896,177.457037054043
2019-06-27 15:36:00+02:00,2.0,,9579.13043478261,1708.425747718966,174.68610550660208
2019-06-27 16:07:00+02:00,4.0,,9284.036697247708,1601.804028834049,176.72954855748753
2019-06-27 16:44:00+02:00,6.0,,9208.151658767774,1776.0914540306107,125.93876062821737
2019-06-27 18:17:00+02:00,16.0,,9023.801652892564,1861.7810720733464,165.21803775617235
2019-06-27 18:48:00+02:00,19.0,,8585.899814471242,1989.8347786487504,160.12114527268065
2019-06-27 19:19:00+02:00,14.0,,7798.195488721804,1612.3377694226378,146.38622073075973
2019-06-27 19:50:00+02:00,10.0,,8577.744360902256,1775.014560990789,153.52874121859165
