id,institution,type,lon,lat,alt,hasdata,hascal,calstart,calend,mincph,maxcph,sens_mq,sens_fendt,sensitivity,sens_comment,usedata,N0,ismin,parma
1,UP,CRS 2000-B,11.06444,47.82535,599.06,True,False,1900-01-01 00:00:00,1900-01-01 00:00:00,1300,2100,1.19,NaN,1.19,1 x calibrator,True,3338,True,26.77
2,UP,CRS 1000,11.06165,47.82656,598.25,True,False,1900-01-01 00:00:00,1900-01-01 00:00:00,600,1100,0.452,NaN,0.452,1 x calibrator,True,3493,True,26.751
3,UP,CRS 1000,11.05949364,47.8316768600001,596.53998,True,False,1900-01-01 00:00:00,1900-01-01 00:00:00,600,1100,0.458,,0.458,cross-cal with #4,True,3611,True,26.713
4,UP,Lab-C,11.06147,47.82391,598.34003,True,True,2019-05-28 09:45:00,2019-05-29 09:25:00,6000,9500,4.544,4.515,4.53,2 x calibrator,True,3572,True,26.753
5,KIT,CRS 1000-B,11.0632637627808,47.8287836785456,596.19,True,True,2019-05-29 12:20:00,2019-05-31 08:35:00,800,1500,NaN,0.67,0.67,1 x calibrator,True,3460,True,26.704
6,KIT,CRS 1000-B,11.06451,47.82252,607.48999,True,False,1900-01-01 00:00:00,1900-01-01 00:00:00,800,1500,NaN,NaN,0.668,type average,True,3534,True,26.968
7,KIT,CRS 1000-B,11.05996042,47.8281839800001,600.03998,True,False,1900-01-01 00:00:00,1900-01-01 00:00:00,1000,1700,NaN,NaN,0.668,type average,True,3784,True,26.794
8,KIT,CRS 2000-B,11.06048659,47.83247821,594.85999,True,True,2019-06-04 16:00:00,2019-06-05 11:53:00,1300,2500,NaN,1.161,1.161,1 x calibrator,True,3501,True,26.674
9,UFZ,Styx Neutronica,11.06656156,47.8289346400001,599.90997,False,True,2019-07-09 10:33:00,2019-07-10 13:08:00,-9999,-9999,NaN,NaN,1,None,False,NaN,True,26.791
10,UFZ,Styx Neutronica,11.0705443,47.8292980300001,611.92999,False,False,1900-01-01 00:00:00,1900-01-01 00:00:00,-9999,-9999,NaN,NaN,1,None,False,NaN,True,27.076
11,UFZ,Styx Neutronica,11.05918,47.82581,601.95001,False,False,1900-01-01 00:00:00,1900-01-01 00:00:00,-9999,-9999,NaN,NaN,1,None,False,NaN,True,26.838
12,UFZ,Styx Neutronica,11.06292481,47.8299914,595.51001,False,True,2019-06-25 12:21:00,2019-06-26 16:19:00,-9999,-9999,NaN,NaN,1,None,False,NaN,True,26.688
13,UFZ,Styx Neutronica,11.06594527,47.8304006500001,595.90997,True,True,2019-07-03 09:05:00,2019-07-04 13:27:00,-9999,-9999,NaN,0.984,0.984,1 x calibrator,False,3572,False,26.698
14,UFZ,CRS 2000,11.0688162896607,47.8316480767303,608.96002,True,True,2019-05-27 09:00:00,2019-05-28 09:30:00,900,^,NaN,0.871,0.871,1 x calibrator,True,3596,True,27.006
15,UFZ,CRS 2000-B,11.06566796,47.8289478500001,600.52002,True,False,2019-07-04 13:59:00,2019-07-09 10:00:00,1300,2000,NaN,NaN,0.871,type average,False,NaN,True,26.806
16,FZJ,CRS 2000-B,11.06849,47.82598,608.03998,True,True,2019-05-23 09:00:00,2019-05-27 08:00:00,1500,2500,NaN,1.148,1.148,1 x calibrator,True,3531,True,26.982
17,FZJ,CRS 2000-B,11.06209218,47.8331505300001,593.85999,True,True,2019-07-10 13:41:00,2019-07-16 12:21:00,1400,2400,NaN,1.121,1.121,1 x calibrator,True,3509,True,26.65
18,FZJ,CRS 1000,11.0631773700001,47.8315381300001,594.07001,True,True,2019-06-27 17:47:00,2019-07-03 08:25:00,500,900,NaN,0.414,0.414,1 x calibrator,True,3541,True,26.655
19,FZJ,CRS 2000-B,11.0689616907186,47.8281116652771,606.40997,True,False,1900-01-01 00:00:00,1900-01-01 00:00:00,1300,2100,NaN,NaN,1.147,type average,True,3546,True,26.944
20,FZJ,Calibrator,-9999,-9999,-9999,False,False,1900-01-01 00:00:00,1900-01-01 00:00:00,-9999,-9999,,,1,self,False,,True,NaN
21,GFZ,CRS 2000-B,11.0637587300001,47.8243742400001,596.90002,True,False,1900-01-01 00:00:00,1900-01-01 00:00:00,1400,2200,1.132,NaN,1.132,1 x calibrator,True,3527,False,26.719
22,GFZ,CRS 2000-B,11.06604,47.82643,608.14001,True,True,2019-05-22 08:00:00,2019-05-23 09:00:00,1200,2100,1.161,1.174,1.168,2 x calibrator,True,3575,True,26.985
23,HMZ,CRS 2000-B,11.06612734,47.8324182600001,595.26001,True,True,2019-06-24 11:25:00,2019-06-25 11:41:00,1300,2100,NaN,1.127,1.127,1 x calibrator,True,3612,False,26.683
24,HMZ,CRS 2000-B,11.06023751,47.83053906,597.77002,True,True,2019-06-26 16:57:00,2019-06-27 17:01:00,1700,2600,NaN,1.138,1.138,1 x calibrator,True,3534,True,26.741
25,KIT,CRS 1000-B,11.0595039300001,47.83220815,595.84003,True,True,2019-06-03 13:50:00,2019-06-04 15:38:00,900,1500,NaN,0.665,0.665,1 x calibrator,True,3602,True,26.696
